## Sky Sources names
#
# Stellarium Web Engine - Copyright (c) 2022 - Stellarium Labs SRL
#
# This program is licensed under the terms of the GNU AGPL v3, or
# alternatively under a commercial license.
#
# The terms of the AGPL v3 license can be found in the main directory of this
# repository.
#
# List of all known sky source names, excluding the ones related
# to a specific sky culture. I.e. this is the international names,
# spelled in english. Translations in other languages is done in
# separate documents.
#
# Each line link a common name to its main object ID.
# The format is a list of values separated by a |
# When an object has several names, they are listed each on a separated line
# by order of importance
#
# References for the names are listed in the sources column. Details for all
# references can be found in the common_names_refs.tab
##
### planet ###
# id            |english   |wikipedia_title  |model  |sources|notes                      |
# ------------- | -------- | --------------- | ----- | ----- | ------------------------- |
CON western Lac |Lacerta            |Lacerta_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Leo |Leo                |Leo_(constellation)                |constellation|WK     |Constellation in the western sky culture
CON western Lep |Lepus              |Lepus_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Lib |Libra              |Libra_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Lup |Lupus              |Lupus_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Lyn |Lynx               |Lynx_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Lyr |Lyra               |Lyra_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Men |Mensa              |Mensa_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Mic |Microscopium       |Microscopium_(constellation)       |constellation|WK     |Constellation in the western sky culture
CON western Mon |Monoceros          |Monoceros_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Mus |Musca              |Musca_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Nor |Norma              |Norma_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Oct |Octans             |Octans_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Oph |Ophiuchus          |Ophiuchus_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Ori |Orion              |Orion_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Pav |Pavo               |Pavo_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Peg |Pegasus            |Pegasus_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Per |Perseus            |Perseus_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Phe |Phoenix            |Phoenix_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Pic |Pictor             |Pictor_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western PsA |Piscis Austrinus   |Piscis Austrinus_(constellation)   |constellation|WK     |Constellation in the western sky culture
CON western Psc |Pisces             |Pisces_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Pup |Puppis             |Puppis_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Pyx |Pyxis              |Pyxis_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Ret |Reticulum          |Reticulum_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Scl |Sculptor           |Sculptor_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Sco |Scorpius           |Scorpius_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Sct |Scutum             |Scutum_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Ser |Serpens            |Serpens_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Sex |Sextans            |Sextans_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Sge |Sagitta            |Sagitta_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Sgr |Sagittarius        |Sagittarius_(constellation)        |constellation|WK     |Constellation in the western sky culture
CON western Tau |Taurus             |Taurus_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Tel |Telescopium        |Telescopium_(constellation)        |constellation|WK     |Constellation in the western sky culture
CON western Tra |Triangulum Australe|Triangulum Australe_(constellation)|constellation|WK     |Constellation in the western sky culture
CON western Tri |Triangulum         |Triangulum_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western Tuc |Tucana             |Tucana_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western UMa |Ursa Major         |Ursa Major_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western UMi |Ursa Minor         |Ursa Minor_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western Vel |Vela               |Vela_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Vir |Virgo              |Virgo_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Vol |Volans             |Volans_(constellation)             |constellation|WK     |Constellation in the western sky culture
